Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
Rb2YCuBr6;ZT value;0.83;dimensionless;300 K;10.1007/s10904-024-03170-9;;;
Rb2YCuBr6;ZT value;0.83;dimensionless;298.15 K;10.1007/s10904-024-03170-9;;;
Rb2YCuCl6;ZT value;0.77;dimensionless;298.15 K;10.1007/s10904-024-03170-9;;;
Rb2YCuCl6;ZT value;0.77;dimensionless;298.15 K;10.1007/s10904-024-03170-9;;;
Rb2YCuCl6;ZT value;0.77;dimensionless;300 K;10.1007/s10904-024-03170-9;;;
Rb2ZrC;ZT value;0.52;dimensionless;900 K;10.1007/s12648-023-02775-z;;;
Rb2ZrC;ZT value;0.52;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
Rb2ZrGe;ZT value;0.67;dimensionless;900 K;10.1007/s12648-023-02775-z;;;
Rb2ZrGe;ZT value;0.24;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
Rb(_2)ZrSi;ZT value;0.18;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
Rb(_2)ZrSi;ZT value;0.62;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
Rb2ZrSn (inverse full Heusler);ZT value;0.59;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
RbAgSe;ZT value;2.2;dimensionless;700 K;10.1007/s10853-022-08028-4;;;
RbAgTe;ZT value;4.1;dimensionless;700 K;10.1007/s10853-022-08028-4;;;
RbCdGeAs2;ZT value;0.53;unitless;50 K;10.1016/j.materresbull.2015.05.044;;;
RbCrAs;ZT value;0.08;dimensionless;1000 K;10.1007/s12648-021-02208-9;;;
RbCrAs;ZT value;0.996;dimensionless;300 K;10.1007/s12648-021-02208-9;;;
RbCrC;ZT value;0.94;dimensionless;800 K;10.1007/s12648-021-02208-9;;;
RbCrSb;ZT value;0.37;dimensionless;1000 K;10.1007/s12648-021-02208-9;;;
RbCrSb;ZT value;0.991;dimensionless;300 K;10.1007/s12648-021-02208-9;;;
RbCrSb;ZT value;0.008;dimensionless;300 K;10.1007/s12648-021-02208-9;;;
RbInCl3;ZT value;0.99;dimensionless;300 K;10.1140/epjp/s13360-024-04921-w;;;
RbKTiBr6;ZT value;0.7;dimensionless;800 K;10.1007/s10904-024-03093-5;;;
RbKTiCl6;ZT value;0.73;dimensionless;800 K;10.1007/s10904-024-03093-5;;;
RbKTiI6;ZT value;0.73;dimensionless;800 K;10.1007/s10904-024-03093-5;;;
RbOsCl3;ZT value;0.89;dimensionless;300 K;10.1038/s41598-024-73412-w;;;
RbOsCl3;ZT value;0.99;dimensionless;1000 K;10.1038/s41598-024-73412-w;;;
RbScSn;ZT value;1;dimensionless;300 K;10.1007/s11082-022-03780-y;;;
RbScSn;ZT value;0.85;dimensionless;600 K;10.1007/s11082-022-03780-y;;;
RbScSn;ZT value;0.97;dimensionless;300 K;10.1007/s11082-022-03780-y;;;
RbScSn;ZT value;0.72;dimensionless;900 K;10.1007/s11082-022-03780-y;;;
RbSnBr3;ZT value;0.74;dimensionless;1000 K;10.1007/s10904-024-03198-x;;;
RbSnBr3;ZT value;0.2;dimensionless;300 K;10.1007/s10904-024-03198-x;;;
RbSnCl3;ZT value;0.33;dimensionless;300 K;10.1007/s10904-024-03198-x;;;
RbSnCl3;ZT value;0.8;dimensionless;1000 K;10.1007/s10904-024-03198-x;;;
RbSnI3;ZT value;0.23;dimensionless;300 K;10.1007/s10904-024-03198-x;;;
RbSnI3;ZT value;0.46;dimensionless;1000 K;10.1007/s10904-024-03198-x;;;
RbTiBr3;ZT value;0.38;dimensionless;500 K;10.1038/s41598-023-34047-5;;;
RbZn4P3;ZT value;0.72;dimensionless;600 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.33;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
RbZn4P3;ZT value;0.52;dimensionless;400 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.78;dimensionless;700 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.65;dimensionless;500 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.78;dimensionless;700 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.33;dimensionless;300 K;10.1007/s10853-022-06953-y;;;
RbZn4P3;ZT value;0.78;dimensionless;700 K;10.1007/s10853-022-06953-y;;;
Re-doped TiFe2Sn (TiFe1.98Re0.02Sn);ZT value;0.015;dimensionless;325 K;10.1007/s11661-024-07619-x;;;
Re-doped TiFe2Sn (TiFe1.98Re0.02Sn);ZT value;0.015;dimensionless;325 K;10.1007/s11661-024-07619-x;;;
Re-doped TiFe2Sn (TiFe1.98Re0.02Sn);ZT value;0.015;dimensionless;325 K;10.1007/s11661-024-07619-x;;;
repetitive hot-deformed Bi2Te2Se;ZT value;1;dimensionless;513 K;10.1007/s12598-021-01901-2;;;
RhFeGe;ZT value;0.94;dimensionless;300 K;10.1007/s42247-021-00256-9;;;
RhFeGe;ZT value;0.935;dimensionless;300 K;10.1134/S0031918X24602403;;;
RhFeGe;ZT value;0.935;dimensionless;298.15 K;10.1007/s10948-020-05677-x;;;
RhFeGe (Down spin);ZT value;0.934;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeGe (spin down state);ZT value;0.935;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeGe (Up spin);ZT value;0.001;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeSn;ZT value;0.952;dimensionless;298.15 K;10.1007/s10948-020-05677-x;;;
RhFeSn;ZT value;0.952;dimensionless;300 K;10.1134/S0031918X24602403;;;
RhFeSn;ZT value;0.952;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeSn (Down spin);ZT value;0.952;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeSn (spin down state);ZT value;0.952;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhFeSn (Up spin);ZT value;0.001;dimensionless;300 K;10.1007/s10948-020-05677-x;;;
RhGeγ (germanide system);ZT value;0.1;dimensionless;900 K;10.1557/jmr.2015.137;;;
RhNbGe;ZT value;0.88;dimensionless;298.15 K;10.1007/s10853-024-09942-5;;;
RhNbGe;ZT value;0.98;dimensionless;300 K;10.1007/s10853-024-09942-5;;;
RhNbGe and RhNbSn;ZT value;0.81;dimensionless;900 K;10.1007/s10853-024-09942-5;;;
RhNbSi;ZT value;0.97;dimensionless;300 K;10.1007/s10853-024-09942-5;;;
RhNbSi;ZT value;0.76;dimensionless;298.15 K;10.1007/s10853-024-09942-5;;;
Rhodium Zirconium Antimonide;ZT value;0.38;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
Rhodium Zirconium Arsenide;ZT value;0.7;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
Rhodium Zirconium Bismuth;ZT value;0.37;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
Rhodium Zirconium Phosphide;ZT value;0.4;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
RhTiSb;ZT value;0.73;dimensionless;300 K;10.1007/s12648-021-02208-9;;;
RhZrAs;ZT value;0.06;dimensionless;300 K;10.1007/s10904-024-03405-9;;;
RhZrAs;ZT value;0.72;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
RhZrBi;ZT value;0.39;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
RhZrBi;ZT value;0.0062;dimensionless;300 K;10.1007/s10904-024-03405-9;;;
RhZrP;ZT value;0.42;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
RhZrP;ZT value;0.005;dimensionless;300 K;10.1007/s10904-024-03405-9;;;
RhZrSb;ZT value;0.38;dimensionless;1200 K;10.1007/s10904-024-03405-9;;;
RhZrSb;ZT value;0.0051;dimensionless;300 K;10.1007/s10904-024-03405-9;;;
Roughened silicon nanowires;ZT value;1;dimensionless;298.15 K;10.1007/s11664-015-3988-x;;;
Ru0.10Mn0.90Siy alloy;ZT value;0.76;dimensionless;880 K;10.1007/s11664-010-1260-y;;;
Ru0.40Re0.60Si1.663;ZT value;0.56;unitless;973 K;10.1016/j.actamat.2009.07.005;;;
Ru0.40Re0.60Si1.663 alloy;ZT value;0.56;dimensionless;973 K;10.1007/s11664-010-1260-y;;;
Ru0.95Ir0.05In3;ZT value;0.04;unitless;420 K;10.1016/j.jssc.2014.04.009;;;
Ru0.95Re0.05In3;ZT value;0.15;unitless;785 K;10.1016/j.jssc.2014.04.009;;;
Ru0.95Rh0.05In3;ZT value;0.05;unitless;425 K;10.1016/j.jssc.2014.04.009;;;
Ru1.8Ni2.2Sb12;ZT value;0.08;unitless;630 K;10.1016/j.jssc.2012.03.028;;;
Ru2Ge3;ZT value;3.20E-03;unitless;300 K;10.1006/jssc.2002.9611;;;
RuGa2;ZT value;0.58;unitless;773 K;10.1016/j.jallcom.2013.09.175;;;
Ru2VAl0.25Ga0.75;ZT value;6.00E-03;unitless;400 K;10.1016/j.intermet.2017.09.012;;;
Ru2VAl0.5Ga0.5;ZT value;8.00E-04;unitless;room temperature;10.1016/j.intermet.2017.09.012;;;
Ru2VGa;ZT value;6.00E-04;unitless;room temperature;10.1016/j.intermet.2017.09.012;;;
Rubidium Aluminum Gold Hexachloride;ZT value;0.72;dimensionless;298.15 K;10.1007/s13369-024-09462-z;;;
Rubidium niobate;ZT value;1;dimensionless;300 K;10.1007/s42247-021-00324-0;;;
Rubidium Telluride;ZT value;0.089;dimensionless;700 K;10.1557/s43578-023-00986-y;;;
Rubidium Telluride;ZT value;0.022;dimensionless;298.15 K;10.1557/s43578-023-00986-y;;;
Rubidium Zirconium Carbide;ZT value;0.15;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
Rubidium Zirconium Silicide;ZT value;0.62;dimensionless;900 K;10.1007/s12648-023-02775-z;;;
Rubidium Zirconium Tin (Full-Heusler);ZT value;0.59;dimensionless;900 K;10.1007/s12648-023-02775-z;;;
Rubidium Zirconium Tin (Rb2ZrSn);ZT value;0.12;dimensionless;300 K;10.1007/s12648-023-02775-z;;;
RuCrGe;ZT value;0.145;dimensionless;1680 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrGe;ZT value;0.0373;dimensionless;1440 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrGe;ZT value;0.0357;dimensionless;1540 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrGe;ZT value;0.136;dimensionless;1800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrPb (half-Heusler alloy);ZT value;0.073;dimensionless;960 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrPb (half-Heusler alloy);ZT value;0.059;dimensionless;760 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrPb (half-Heusler alloy);ZT value;0.0377;dimensionless;1800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrPb (half-Heusler alloy);ZT value;0.0379;dimensionless;1800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSi;ZT value;0.181;dimensionless;800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSi;ZT value;0.0412;dimensionless;1800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSi;ZT value;0.0344;dimensionless;1520 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSi;ZT value;0.027;dimensionless;1800 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSn (half-Heusler alloy);ZT value;0.0348;dimensionless;1500 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSn (half-Heusler alloy);ZT value;0.177;dimensionless;760 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSn (half-Heusler alloy);ZT value;0.0344;dimensionless;1520 K;10.1140/epjb/s10051-024-00843-9;;;
RuCrSn (half-Heusler alloy);ZT value;0.181;dimensionless;800 K;10.1140/epjb/s10051-024-00843-9;;;
RuGa2;ZT value;0.58;unitless;773 K;10.1016/j.jallcom.2013.09.175;;;
RuGa2;ZT value;2;unitless;not specified;10.1016/j.jallcom.2013.09.175;;;
RuGa2;ZT value;0.5;unitless;773 K;10.1016/j.jallcom.2013.09.175;;;
RuGa2;ZT value;0.75;unitless;not specified;10.1016/j.jallcom.2013.09.175;;;
RuGa3;ZT value;0.08;unitless;845 K;10.1016/j.solidstatesciences.2014.03.016;;;
S70Ge30;ZT value;0.057;dimensionless;300 K;10.1134/S0031918X13080085;;;
S-alloyed Cu2Se;ZT value;2;dimensionless;1000 K;10.1007/s40843-024-2957-1;;;
Sb0.004Pb0.996Te0.88S0.12;ZT value;1.2;dimensionless;773 K;10.1007/s11664-012-2352-7;;;
Sb (0.5%)-Zn (0.5%) co-doped Mg2Si;ZT value;0.964;dimensionless;880 K;10.1007/s11664-016-4972-9;;;
(Sb0.75Bi0.25)2Te3;ZT value;1.8;unitless;27 °C;10.1016/j.rser.2013.03.008;;;
Sb100GeTe150;ZT value;0.84;unitless;492 K;10.1016/j.cap.2009.01.016;;;
Sb2.06Te3;ZT value;0.85;dimensionless;523 K;10.1007/s10854-020-04834-1;;;
Sb2.12Te3;ZT value;0.91;dimensionless;523 K;10.1007/s10854-020-04834-1;;;
Sb2.18Te3;ZT value;1.22;dimensionless;523 K;10.1007/s10854-020-04834-1;;;
Sb2Si2Te6;ZT value;1.08;dimensionless;823 K;10.1007/s11431-024-2783-x;;;
Sb2Si2Te6;ZT value;1.08;dimensionless;823 K;10.1007/s11431-024-2783-x;;;
Sb2Te3;ZT value;0.17;unitless;290 K;10.1016/j.jssc.2012.03.061;;;
Sb2Te3;ZT value;1.22;unitless;room temperature;10.1016/j.cplett.2013.08.084;;;
Sb2Te3;ZT value;1.21;dimensionless;350 °C;10.1007/s11664-024-10996-z;;;
Sb2Te3;ZT value;1.5;unitless;300 K;10.1016/j.jallcom.2013.08.164;;;
Sb2Te3;ZT value;1.18;unitless;523 K;10.1016/j.pmatsci.2017.09.004;;;
Sb2Te3;ZT value;0.48;unitless;300 K;10.1016/j.vacuum.2017.07.030;;;
Sb2Te3;ZT value;0.4;unitless;300 K;10.1016/j.jssc.2012.03.042;;;
Sb2Te3;ZT value;1.22;unitless;room temperature;10.1016/j.cplett.2013.08.084;;;
Sb2Te3;ZT value;1.22;unitless;room temperature;10.1016/j.cplett.2013.08.084;;;
Sb2Te3;ZT value;0.21;unitless;290 K;10.1016/j.jssc.2012.03.061;;;
Sb2Te3;ZT value;0.74;unitless;492 K;10.1016/j.cap.2009.01.016;;;
Sb2Te3;ZT value;1.22;unitless;room temperature;10.1016/j.cplett.2013.08.084;;;
Sb2Te3;ZT value;0.69;dimensionless;523 K;10.1007/s10854-020-04834-1;;;
Sb2Te3;ZT value;0.83;unitless;room temperature;10.1016/j.sna.2011.09.020;;;
SiGe;ZT value;0.34;unitless;820 K;10.1016/j.jcrysgro.2016.02.025;;;
Sb2Te3;ZT value;1.04;dimensionless;468 K;10.1007/s11664-024-10996-z;;;
Sb2Te3;ZT value;1.04;dimensionless;468 K;10.1007/s11664-024-10996-z;;;
Sb2Te3;ZT value;0.8;unitless;<150 °C;10.1016/j.rser.2017.01.177;;;
Sb2Te3;ZT value;1.04;dimensionless;468 K;10.1007/s11664-024-10996-z;;;
Sb2Te3/Ag2Te composite;ZT value;1.5;dimensionless;700 K;10.1007/s11664-022-09487-w;;;
Sb2Te3/Ag2Te composite;ZT value;1.5;dimensionless;700 K;10.1038/s41598-019-45697-9;;;
Sb2Te3–Bi2Te3 (75:25; Standard-SPS);ZT value;0.82;dimensionless;300 K;10.1007/s11664-009-1059-x;;
Sb2Te3 nanoplatelets;ZT value;0.21;dimensionless;523 K;10.1038/srep37722;;;
Sb2Te3 nanoplatelets;ZT value;1.012;dimensionless;523 K;10.1038/srep37722;;;
Sb2Te3 (Single Crystal);ZT value;0.13;dimensionless;300 K;10.1007/s11664-009-1059-x;;;
Sb2Te3 (Textured Polycrystal);ZT value;0.16;dimensionless;300 K;10.1007/s11664-009-1059-x;;;
Sb2Te3 (Textured Polycrystal);ZT value;0.26;dimensionless;300 K;10.1007/s11664-009-1059-x;;;
Sb71.22Co2.97Fe20.77Ce5.04;ZT value;1.22;dimensionless;873 K;10.1007/s10854-014-2109-6;;;
Sb- and Pb-doped GeTe;ZT value;1.7;dimensionless;725 K;10.1007/s12598-023-02606-4;;;
Sb-doped AgBi3S5 (Ag0.97Sb0.03Bi3S5);ZT value;0.53;dimensionless;800 K;10.1007/s12598-020-01373-w;;;
Sb-doped AgBi3S5 (Ag0.97Sb0.03Bi3S5);ZT value;0.53;dimensionless;800 K;10.1007/s12598-020-01373-w;;;
Sb-doped Cu2Se (0.5 at.%);ZT value;0.47;dimensionless;523 K;10.1007/s11664-023-10808-w;;;
Sb-doped Cu2Se (2% Sb);ZT value;1.22;dimensionless;823 K;10.1007/s11664-023-10808-w;;;
Sb-doped Cu2Se (Cu2Se0.98Sb0.02);ZT value;1.22;dimensionless;823 K;10.1007/s11664-023-10808-w;;;
Sb-doped Cu2Se (x = 0.02);ZT value;1.22;dimensionless;823 K;10.1007/s11664-023-10808-w;;;
Sb-doped Cu2Se (x = 0.02);ZT value;1.22;dimensionless;823 K;10.1007/s11664-023-10808-w;;;
Sb-doped Cu2SnSe3 (Cu2Sn0.94Sb0.06Se3);ZT value;0.36;dimensionless;773 K;10.1007/s12598-021-01724-1;;;
Sb-doped Cu2SnSe3 (x = 0.02);ZT value;0.008;dimensionless;400 K;10.1007/s10854-018-9444-y;;;
Sb-doped Cu2SnSe3 (x = 0.04);ZT value;0.044;dimensionless;400 K;10.1007/s10854-018-9444-y;;;
Sb-doped Fe0.1Te0.9 (0.3% Sb);ZT value;0.65;dimensionless;607 K;10.1007/s10854-023-11796-7;;;
SiGe;ZT value;1;unitless;700 °C;10.1016/j.applthermaleng.2016.09.108;;;
Sb-doped GeTe films;ZT value;1.53;dimensionless;673 K;10.1007/s40195-023-01584-x;;;
Sb-doped GeTe thin films;ZT value;1.53;dimensionless;673 K;10.1007/s40195-023-01584-x;;;
Sb-doped Mg2Si;ZT value;0.47;dimensionless;1200 K;10.1557/s43578-024-01402-9;;;
Sb-doped Mg2Si0.78Ge0.02Sn0.2 solid solution;ZT value;1.1;dimensionless;800 K;10.1134/S1063782619050063;;;
Sb-doped Mg2Si (2 at%);ZT value;0.56;dimensionless;862 K;10.1007/s10853-015-8960-x;;;
Sb-doped Mg2Si (x = 0.015);ZT value;0.41;dimensionless;810 K;10.1007/s11664-012-2442-6;;;
Sb-doped NiTi0.50Zr0.25Hf0.25Sn;ZT value;1.5;dimensionless;700 K;10.1007/s10948-020-05638-4;;;
Sb-doped n-type PbTe (Pb0.98Sb0.02Te);ZT value;1.3;dimensionless;673 K;10.1007/s00339-019-2525-9;;;
Sb-doped PbTe0.88S0.12 (Sb 0.4 at%);ZT value;1.2;dimensionless;773 K;10.1007/s11664-012-2352-7;;;
Sb-doped ZrPtSn (8% Sb);ZT value;0.5;dimensionless;1000 K;10.1007/s12598-021-01752-x;;;
Sb-doped ZrPtSn (ZrPtSn0.92Sb0.08);ZT value;0.47;dimensionless;1000 K;10.1007/s12598-021-01752-x;;;
SbI3-doped Bi2Te2.4Se0.6;ZT value;0.25;dimensionless;300 K;10.1134/S0020168518120075;;;
SbI3-doped Bi2Te2.85Se0.15 (0.07 wt%);ZT value;0.69;dimensionless;300 K;10.3938/jkps.65.696;;;
SbI3-doped PbTe (0.08 wt.%);ZT value;0.99;dimensionless;380 °C;10.1007/s11664-012-1926-8;;;
SbI3-doped PbTe (0.08 wt.%);ZT value;0.99;dimensionless;390 °C;10.1007/s11664-012-1926-8;;;
SbS2;ZT value;0.44;unitless;820 K;10.1016/j.jcrysgro.2016.02.025;;;
Sb; Se-doped Fe0.1Te0.872;ZT value;0.76;dimensionless;580 K;10.1007/s10854-023-11796-7;;
Sb;Zn-codoped Mg2Si;ZT value;0.82;dimensionless;873 K;10.1007/s11664-021-09404-7;;
Sc0.65Y0.3Ti0.05NiSb;ZT value;0.3;dimensionless;778 K;10.1038/s41524-022-00723-9;;;
Sc0.65Y0.3Ti0.05NiSb;ZT value;0.3;dimensionless;778 K;10.1038/s41524-022-00723-9;;;
Sc0.75V0.25PtBi;ZT value;0.16;dimensionless;1200 K;10.1007/s10854-024-12546-z;;;
Sc0.7Y0.3NiSb0.97Sn0.03;ZT value;0.5;dimensionless;925 K;10.1038/s41524-022-00723-9;;;
Sc0.7Y0.3NiSb0.97Sn0.03;ZT value;0.5;dimensionless;925 K;10.1038/s41524-022-00723-9;;;
ScAuGe;ZT value;0.72;dimensionless;1200 K;10.1140/epjp/s13360-021-02021-7;;;
ScAuSi;ZT value;0.82;dimensionless;1200 K;10.1140/epjp/s13360-021-02021-7;;;
ScAuSn;ZT value;0.69;dimensionless;1200 K;10.1140/epjp/s13360-021-02021-7;;;
ScCoSb;ZT value;0.009;unitless;380 K;10.1016/j.jallcom.2005.04.012;;;
ScCuSe2;ZT value;0.18;dimensionless;800 K;10.1007/s10853-021-06325-y;;;
schwarzite C11;ZT value;4.28;dimensionless;300 K;10.1007/s42114-022-00595-z;;;
schwarzite C11;ZT value;4.61;dimensionless;360 K;10.1007/s42114-022-00595-z;;;
Schwarzite C11;ZT value;4.61;dimensionless;360 K;10.1007/s42114-022-00595-z;;;
Schwarzite C11;ZT value;4.61;dimensionless;360 K;10.1007/s42114-022-00595-z;;;
schwarzite C8;ZT value;4.51;dimensionless;300 K;10.1007/s42114-022-00595-z;;;
schwarzite C8;ZT value;4.91;dimensionless;255 K;10.1007/s42114-022-00595-z;;;
Schwarzite C8;ZT value;4.91;dimensionless;255 K;10.1007/s42114-022-00595-z;;;
Schwarzite C8;ZT value;4.5;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
Schwarzite (C8);ZT value;4.5;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
Schwarzite (C8);ZT value;4.83;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
Schwarzite (C8);ZT value;4.91;dimensionless;255 K;10.1007/s42114-022-00595-z;;;
Schwarzite C8 (5% tensile strain);ZT value;4.83;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
Schwarzite (C9);ZT value;0.34;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
Schwarzite (C9);ZT value;0.249;dimensionless;300 K;10.1007/s42114-024-00997-1;;;
ScInS3;ZT value;0.61;dimensionless;300 K;10.1557/s43578-024-01432-3;;;
ScInSe3;ZT value;0.54;dimensionless;300 K;10.1557/s43578-024-01432-3;;;
ScNbCo2Sb2;ZT value;0.89;dimensionless;50 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.75;dimensionless;450 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.77;dimensionless;300 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.79;dimensionless;800 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.89;dimensionless;50 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.89;dimensionless;50 K;10.1007/s12648-024-03091-w;;;
ScNbCo2Sb2;ZT value;0.77;dimensionless;300 K;10.1007/s12648-024-03091-w;;;
SiGe;ZT value;0.75;unitless;700 °C;10.1016/j.applthermaleng.2016.09.108;;;
ScNbNi2Sn2 (p-type);ZT value;0.64;dimensionless;900 K;10.1007/s11664-023-10589-2;;;
ScNbRh2Bi2;ZT value;0.78;dimensionless;800 K;10.1007/s12648-024-03073-y;;;
ScNiSb;ZT value;0.1;dimensionless;810 K;10.1007/s12648-021-02208-9;;;
ScTaRh2Bi2;ZT value;0.75;dimensionless;800 K;10.1007/s12648-024-03073-y;;;
Se-alloyed SnS crystals (9% Se);ZT value;2;dimensionless;873 K;10.1007/s40843-021-1945-1;;;
Se-doped Bi0.5Sb1.5Te3 alloy;ZT value;1.2;dimensionless;350 K;10.1007/s12598-019-01235-0;;;
Se-doped Bi2Te3;ZT value;0.61;dimensionless;385 K;10.1007/s10854-023-10490-y;;;
Se-doped Bi2Te3 (Bi2Te2.3Se0.7);ZT value;1.2;dimensionless;445 K;10.1007/s10854-023-10490-y;;;
Se-doped Bi2Te3 (Bi2Te2.5Se0.5);ZT value;1;dimensionless;488 K;10.1007/s10854-023-10490-y;;;
Se-doped Bi2Te3 (Bi2Te2.7Se0.3; microwave-assisted solvothermal);ZT value;1.23;dimensionless;480 K;10.1007/s10854-023-10490-y;;
Se-doped Bi2Te3 (Bi2Te2.9Se0.1);ZT value;0.61;dimensionless;385 K;10.1007/s10854-023-10490-y;;;
Se-doped Bi2Te3 (Bi2Te2.9Se0.1);ZT value;0.61;dimensionless;385 K;10.1007/s10854-023-10490-y;;;
Se-doped FeVSb (FeVSb0.88Se0.12);ZT value;0.27;dimensionless;847 K;10.1007/s11664-019-07653-1;;;
Se-doped Te (1%);ZT value;0.4;dimensionless;673 K;10.1007/s12598-024-02880-w;;;
S-filled Co4Sb11.2Te0.8 (S0.3);ZT value;1.5;dimensionless;850 K;10.1007/s11664-017-5891-0;;;
S-filled Co4Sb11.2Te0.8 (x = 0.3);ZT value;1.5;dimensionless;850 K;10.1007/s11664-017-5891-0;;;
S-filled; Te-doped Co4Sb11.2Te0.8 (S content x = 0.3);ZT value;1.5;dimensionless;850 K;10.1007/s11664-017-5891-0;;
Si;ZT value;0.6;unitless;room temperature;10.1016/j.scriptamat.2010.11.026;;;
Si;ZT value;1;unitless;1000 K;10.1016/j.nanoen.2012.10.005;;;
Si;ZT value;0.01;unitless;300 K;10.1016/j.mser.2014.02.001;;;
Si;ZT value;0.7;unitless;1275 K;10.1016/j.scriptamat.2015.05.037;;;
Si;ZT value;1;unitless;200 K;10.1016/j.scriptamat.2010.11.026;;;
Si0.65Ge0.25;ZT value;0.07;dimensionless;490 °C;10.1134/S1063784224020105;;;
Si0.68Ge0.32;ZT value;0.34;unitless;820 K;10.1016/j.jcrysgro.2016.02.025;;;
Si0.754Ge0.246;ZT value;0.8;dimensionless;1200 K;10.1557/opl.2012.328;;;
Si0.754Ge0.246;ZT value;0;dimensionless;200 K;10.1557/opl.2012.328;;;
Si0.795Ge0.2B0.005;ZT value;0.95;dimensionless;1000 K;10.1007/s11664-018-6334-2;;;
Si0.795Ge0.2B0.005;ZT value;0.95;dimensionless;1000 K;10.1007/s11664-018-6334-2;;;
Si0.7Ge0.3;ZT value;0.09;dimensionless;300 K;10.1134/S2075113316020052;;;
Si0.7Ge0.3;ZT value;∼1;unitless;1100 K;10.1016/j.mser.2009.10.001;;;
Si0.8Ge0.2;ZT value;1.3;unitless;800 °C;10.1016/j.actamat.2013.10.062;;;
Si0.8Ge0.2;ZT value;0.6;unitless;1173 K;10.1016/j.jallcom.2010.05.124;;;
Si0.8Ge0.2;ZT value;0.9;unitless;not specified;10.1016/j.renene.2014.08.059;;;
Si0.8Ge0.2;ZT value;1;unitless;1173 K;10.1016/j.jallcom.2010.05.124;;;
Si0.8Ge0.2;ZT value;1;unitless;800 °C;10.1016/j.actamat.2013.10.062;;;
Si0.8Ge0.2;ZT value;1.3;unitless;not specified;10.1016/j.renene.2014.08.059;;;
Si0.8Ge0.2 (P-type);ZT value;1.23;dimensionless;1130 K;10.1134/S2635167621030174;;;
Si0.90Ge0.10B0.05;ZT value;0.5;unitless;700 °C;10.1016/j.actamat.2013.10.062;;;
Si0.90Ge0.10P0.02;ZT value;0.9;unitless;700 °C;10.1016/j.actamat.2013.10.062;;;
Si0.97Ge0.01B0.02 alloy;ZT value;0.14;dimensionless;873 K;10.1007/s10853-022-07925-y;;;
Si1-xGex;ZT value;0.9;unitless;825 °C;10.1016/j.renene.2014.08.059;;;
Si1-xGex;ZT value;0.5;unitless;825 °C;10.1016/j.renene.2014.08.059;;;
Si24;ZT value;0.51;dimensionless;700 K;10.1140/epjb/s10051-021-00251-3;;;
