Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
AgPb9Sn9SbTe20;ZT value;0.7;dimensionless;675 K;10.1007/s11664-012-1908-x;;;
Ba2FeMoO6;ZT value;0.998;unitless;200 K;10.1016/j.jallcom.2017.04.180;;;
Ag; Pb co-doped SnSe (Sn0.98Ag0.01Pb0.01Se);ZT value;1.4;dimensionless;873 K;10.1007/s10854-023-10752-9;;
Ag; Pb co-doped SnSe (Sn0.98Ag0.01Pb0.01Se);ZT value;1.4;dimensionless;873 K;10.1007/s10854-023-10752-9;;
Ag; Pb co-doped SnSe (Sn0.98Ag0.01Pb0.01Se);ZT value;1.4;dimensionless;873 K;10.1007/s10854-023-10752-9;;
AgPbmSbnTe2+m;ZT value;2.1;unitless;530 °C;10.1016/j.rser.2013.03.008;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.commatsci.2011.08.016;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.matlet.2006.03.080;;;
AgPbmSbTe2+m;ZT value;1.7;unitless;700 K;10.1016/j.solidstatesciences.2010.09.014;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.actamat.2014.04.036;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.actamat.2012.11.027;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.solidstatesciences.2010.11.045;;;
AgPbmSbTe2+m;ZT value;2.2;unitless;800 K;10.1016/j.jallcom.2014.09.198;;;
AgPbmSbTe2−m;ZT value;2.2;unitless;800 K;10.1016/j.apenergy.2014.12.075;;;
AgPbmSbTe2+m (LAST-m) alloy;ZT value;2.2;dimensionless;800 K;10.1007/s10854-020-04294-7;;;
AgPbmSbTem+2;ZT value;2.2;unitless;800 K;10.1016/j.jallcom.2010.07.146;;;
Ag-PbS system;ZT value;1.7;dimensionless;850 K;10.1140/epjb/e2020-10455-0;;;
Ag-plated SnTe (2 wt%);ZT value;0.67;dimensionless;823 K;10.1007/s12598-021-01805-1;;;
Ag-rich Ag2Se (0.5% excess Ag);ZT value;0.92;dimensionless;300 K;10.1007/s12613-024-2973-x;;;
AgSbF6-doped Cu1.99Se (0.35 mol%);ZT value;3;dimensionless;1050 K;10.1007/s40843-024-2957-1;;;
AgSbS2;ZT value;0.54;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
AgSbS2;ZT value;0.54;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
AgSbS2 monolayer (n-type);ZT value;0.54;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
AgSbS2 monolayer (p-type);ZT value;0.3;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
AgSbS2 monolayer (p-type);ZT value;0.2;dimensionless;300 K;10.1007/s11581-024-05844-3;;;
AgSbSe2;ZT value;1.15;unitless;407 °C;10.1016/j.pmatsci.2016.07.002;;;
AgSbSe2;ZT value;1;unitless;407 °C;10.1016/j.pmatsci.2016.07.002;;;
AgSbTe2;ZT value;1.39;dimensionless;673 K;10.3938/jkps.68.164;;;
AgSbTe2;ZT value;1.37;unitless;565 K;10.1016/j.electacta.2011.04.063;;;
AgSbTe2;ZT value;1.59;unitless;300 °C;10.1016/j.rser.2013.03.008;;;
AgSbTe2;ZT value;1.6;dimensionless;673 K;10.1038/am.2013.15;;;
AgSbTe2;ZT value;1.5;unitless;not specified;10.1016/j.nanoen.2011.10.001;;;
AgSbTe2;ZT value;1.3;dimensionless;720 K;10.1038/nnano.2013.95;;;
AgSbTe2;ZT value;1.1;dimensionless;500 K;10.1007/s40843-024-3152-0;;;
AgSbTe2;ZT value;1.3;unitless;720 K;10.1016/j.jallcom.2010.06.182;;;
AgSbTe2;ZT value;1.55;unitless;260 °C;10.1016/j.rser.2013.03.008;;;
AgSbTe2.01;ZT value;1.4;dimensionless;560 K;10.1007/s11664-014-3076-7;;;
(AgSbTe2)15(SnTe)85;ZT value;0.75;unitless;800 K;10.1016/j.actamat.2012.11.027;;;
(AgSbTe2)1−x(GeTe)x;ZT value;1.36;unitless;700 K;10.1016/j.intermet.2014.09.004;;;
(AgSbTe2)1−x(GeTe)x;ZT value;1.36;unitless;700 K;10.1016/j.jallcom.2014.09.198;;;
AgSbTe2/Ag2Te quenched ingots;ZT value;1.5;dimensionless;500 K;10.1038/s41598-019-45697-9;;;
AgSbTe2-GeTe;ZT value;1;unitless;700 K;10.1016/j.spmi.2008.02.008;;;
